"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant"
"1327","SLP",1,45,50,"1",2014,58,98,90,0,0,1,2015,0,NA,"1",71,111,99,0,0,1,6,438522.87574276,133926.094822533,204260.856549265,0.422109768940983,0,0,0,0,0,0,NA,0,FALSE
"1328","SLP",1,5,0,"10",2015,34,53,43,0,0,1,2016,0,NA,"1",40,58,44,1,51,1,12,1009391.36340391,20285.7873630049,26724.4815065372,0.27565954471677,0,0,51,1,0,52,3.95124371858143,1,FALSE
"1329","SLP",1,5,0,"9",2016,53,77,30,3,39,1,2017,0,NA,"1",41,74,36,0,2,1,12,1009391.36340391,32052.0990482499,28594.7763329743,-0.114138618703373,39,3,2,0,42,2,0.693147180559945,1,FALSE
"1330","SLP",1,5,0,"9",2014,42,57,34,0,0,1,2015,0,NA,"1",51,31,33,0,0,1,12,1009391.36340391,21309.4229692996,13658.859459645,-0.444761012058127,0,0,0,0,0,0,NA,0,FALSE
"1331","SLP",1,5,0,"8",2015,84,94,70,0,0,1,2016,0,NA,"1",84,100,85,4,78,0.25,12,1009391.36340391,144701.757624346,186924.762888593,0.256031418159045,0,0,312,16,0,328,5.79301360838414,1,FALSE
"1332","SLP",1,5,0,"9",2015,51,31,33,0,0,1,2016,0,NA,"1",53,77,30,3,39,1,12,1009391.36340391,13658.859459645,32052.0990482499,0.852974318392009,0,0,39,3,0,42,3.73766961828337,1,FALSE
"1333","SLP",1,5,0,"8",2016,84,100,85,4,78,0.25,2017,0,NA,"1",88,100,79,0,11,0.5,12,1009391.36340391,186924.762888593,182002.934397969,-0.0266833883884026,312,16,22,0,328,22,3.09104245335832,1,FALSE
"1334","SLP",1,5,0,"7",2014,45,82,80,0,6,1,2015,0,NA,"1",50,83,68,0,0,1,12,1009391.36340391,77283.1792783089,73879.78723692,-0.0450370533076043,6,0,0,0,6,0,NA,0,FALSE
"1335","SLP",1,5,0,"8",2014,81,86,62,0,5,1,2015,0,NA,"1",84,94,70,0,0,1,12,1009391.36340391,113069.06119535,144701.757624346,0.246675987191638,5,0,0,0,5,0,NA,0,FALSE
"1336","SLP",1,5,0,"7",2015,50,83,68,0,0,1,2016,0,NA,"1",59,89,81,6,67,0.25,12,1009391.36340391,73879.78723692,111351.395412,0.410251649909448,0,0,268,24,0,292,5.67675380226828,1,FALSE
