"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","seeds.emp","seeds.PMod","seeds.FMod","recruits","recruit.prob"
"26","FPS",1,0,0,"7",2016,68,90,87,10,107,1,2017,0,NA,"1",74,97,89,1,24,0.25,6,60.3777783154725,11.8450487302224,12.0272356775011,0.0152637662447173,107,10,96,4,117,100,4.60517018598809,1,FALSE,2442,2442,4090.16021361586,0,0
"27","FPS",1,0,0,"7",2015,67,87,85,4,0,1,2016,0,NA,"1",68,90,87,10,107,1,6,60.3777783154725,11.7730752305973,11.8450487302224,0.00609478742180522,0,4,107,10,4,117,4.76217393479776,1,FALSE,2442,2442,4090.16021361586,0,0
"28","FPS",1,0,0,"9",2016,78,60,52,11,176,1,2017,0,NA,"1",59,67,54,4,84,0.5,6,60.3777783154725,11.0621203435545,10.9310373459224,-0.0119204846978417,176,11,168,8,187,176,5.17048399503815,1,FALSE,2442,2442,4090.16021361586,0,0
"29","FPS",1,0,0,"3",2015,16,26,17,0,0,1,2016,0,NA,"1",16,29,24,0,0,1,6,60.3777783154725,7.52372184037888,7.9777616186356,0.0585969320879171,0,0,0,0,0,0,NA,0,FALSE,2442,2442,4090.16021361586,0,0
"30","FPS",1,0,0,"9",2014,85,55,60,0,5,1,2015,0,NA,"1",84,56,42,3,0,1,6,60.3777783154725,11.2041522400063,10.8536613439232,-0.0317819711948914,5,0,0,3,5,3,1.09861228866811,1,FALSE,2442,2442,4090.16021361586,0,0
"31","FPS",1,0,0,"7",2014,54,87,77,0,1,1,2015,0,NA,"1",67,87,85,4,0,1,6,60.3777783154725,11.4585208231339,11.7730752305973,0.0270815342404011,1,0,0,4,1,4,1.38629436111989,1,FALSE,2442,2442,4090.16021361586,0,0
"32","FPS",1,0,0,"10",2015,58,55,38,0,0,1,2016,0,NA,"1",64,61,42,19,202,1,6,60.3777783154725,10.3651855915667,10.6672498018778,0.0287256302337375,0,0,202,19,0,221,5.39816270151775,1,FALSE,2442,2442,4090.16021361586,0,0
"33","FPS",1,0,0,"6",2013,37,33,19,0,0,1,2014,0,NA,"1",36,39,24,0,0,1,6,60.3777783154725,8.71168768933854,9.0849576509951,0.0419545037599201,0,0,0,0,0,0,NA,0,FALSE,2442,2442,4090.16021361586,0,0
"34","FPS",1,0,0,"10",2014,54,46,36,0,7,1,2015,0,NA,"1",58,55,38,0,0,1,6,60.3777783154725,10.0609676175709,10.3651855915667,0.029789306634288,7,0,0,0,7,0,NA,0,FALSE,2442,2442,4090.16021361586,0,0
"35","FPS",1,0,0,"2",2015,92,162,127,49,61,1,2016,0,NA,"1",94,185,143,85,263,0.5,6,60.3777783154725,13.1133952348014,13.3863184736696,0.0205989311640515,61,49,526,170,110,696,6.54534966033442,1,FALSE,2442,2442,4090.16021361586,0,0
"36","FPS",1,0,0,"8",2014,47,78,66,0,0,1,2015,0,NA,"1",56,80,65,2,0,1,6,60.3777783154725,11.0563344064875,11.2415888313661,0.0166166764046579,0,0,0,2,0,2,0.693147180559945,1,FALSE,2442,2442,4090.16021361586,0,0
"37","FPS",1,0,0,"1",2013,49,54,27,0,5,1,2014,0,NA,"1",60,61,43,0,0,1,6,60.3777783154725,9.83646444674063,10.6262417781504,0.0772302389130991,5,0,0,0,5,0,NA,0,FALSE,2442,2442,4090.16021361586,0,0
"38","FPS",1,100,100,"1",2016,98,144,141,220,158,0.25,2017,0,NA,"1",92,167,163,94,144,0.125,0,0,13.1633639046861,13.393355826334,0.0173212410443222,632,880,1152,752,1512,1904,7.55171221535131,1,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"39","FPS",1,100,100,"2s",2015,8,10,9,0,0,1,2016,0,NA,"1",9,14,8,0,0,1,0,0,5.2390744480715,5.57554668469271,0.0622455218889291,0,0,0,0,0,0,NA,0,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"40","FPS",1,100,100,"3",2014,123,170,157,17,170,1,2015,0,NA,"1",144,172,122,102,12,1,0,0,13.6640518338324,13.5811520571841,-0.00608547712218022,170,17,12,102,187,114,4.7361984483945,1,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"41","FPS",1,100,100,"1",2015,92,141,128,332,162,1,2016,0,NA,"1",98,144,141,220,158,0.25,0,0,12.9824019674082,13.1633639046861,0.013842763516372,162,332,632,880,494,1512,7.32118855673948,1,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"42","FPS",1,100,100,"1",2014,87,105,100,149,22,1,2015,0,NA,"1",92,141,128,332,162,1,0,0,12.3848618908616,12.9824019674082,0.047119834018341,22,149,162,332,171,494,6.20253551718792,1,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"43","FPS",1,100,100,"3",2015,144,172,122,102,12,1,2016,0,NA,"1",128,139,130,140,203,0.25,0,0,13.5811520571841,13.3138618835673,-0.019877214026191,12,102,812,560,114,1372,7.22402480828583,1,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"44","FPS",1,100,100,"3",2013,124,149,141,0,41,1,2014,0,NA,"1",123,170,157,17,170,1,0,0,13.4328109979901,13.6640518338324,0.0170681344944183,41,0,170,17,41,187,5.23110861685459,1,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"45","FPS",1,100,100,"2s",2013,NA,NA,NA,NA,NA,NA,2014,1,1,"",5,4,2.5,0,0,1,0,0,NA,2.57184624148955,NA,NA,NA,0,0,NA,0,NA,0,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"46","FPS",1,100,100,"2s",2016,9,14,8,0,0,NA,2017,0,NA,"1",12,17,13,0,0,1,0,0,5.57554668469271,6.54289258736715,0.159988986760163,NA,NA,0,0,NA,0,NA,0,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"47","FPS",1,100,100,"1",2013,79,79,73,0,20,1,2014,0,NA,"1",87,105,100,149,22,1,0,0,11.6891783821438,12.3848618908616,0.0578114223619782,20,0,22,149,20,171,5.14166355650266,1,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"48","FPS",1,100,100,"3",2016,128,139,130,140,203,0.25,2017,0,NA,"1",131,163,149,68,163,0.125,0,0,13.3138618835673,13.6327170660148,0.0236668310268815,812,560,1304,544,1372,1848,7.52185925220163,1,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"49","FPS",1,100,100,"2s",2014,5,4,2.5,0,0,1,2015,0,NA,"1",8,10,9,0,0,1,0,0,2.57184624148955,5.2390744480715,0.711520827787341,0,0,0,0,0,0,NA,0,FALSE,3911,3911,5066.79972122702,1,0.000255689082076195
"50","FPS",1,105,100,"2",2015,132,145,129,147,8,1,2016,0,NA,"1",142,143,132,104,112,0.25,2,24.7526487798359,13.37917130543,13.4612968465089,0.00611955029297052,8,147,448,416,155,864,6.76157276880406,1,FALSE,1082,1082,4666.41376151019,1,0.000924214417744917
"51","FPS",1,105,100,"2",2014,133,123,110,23,34,1,2015,0,NA,"1",132,145,129,147,8,1,2,24.7526487798359,13.062837085448,13.37917130543,0.0239277824862734,34,23,8,147,57,155,5.04342511691925,1,FALSE,1082,1082,4666.41376151019,1,0.000924214417744917
"52","FPS",1,105,100,"2",2016,142,143,132,104,112,0.25,2017,0,NA,"1",137,154,136,148,486,0.125,2,24.7526487798359,13.4612968465089,13.5294116500392,0.00504728863576619,448,416,3888,1184,864,5072,8.53149049611706,1,FALSE,1082,1082,4666.41376151019,1,0.000924214417744917
