"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","recruits.1y","recruits.4y"
"1341","SLP",1,440,450,"3",2014,14,14,10,0,0,1,2015,0,NA,"1",15,22,19,0,0,1,1,513.126800086333,6.24052298828596,7.40335486968837,0.170869267147277,0,0,0,0,0,0,NA,0,FALSE,0,0
"1342","SLP",1,445,450,"5",2015,49,75,71,0,0,1,2016,0,NA,"1",58,95,84,7,10,0.5,2,150420.241652043,11.1318115247497,11.7049599370517,0.0502057656381454,0,0,20,14,0,34,3.52636052461616,1,FALSE,0,0
"1343","SLP",1,445,450,"4",2016,59,117,87,121,88,0.125,2017,0,NA,"1",62,121,108,60,144,0.125,2,150420.241652043,11.9654427334195,12.2648793938275,0.0247171212501329,704,968,1152,480,1672,1632,7.39756153552405,1,FALSE,0,0
"1344","SLP",1,445,450,"5",2016,58,95,84,7,10,0.5,2017,0,NA,"1",64,109,87,22,59,0.25,2,150420.241652043,11.7049599370517,11.9759623203048,0.0228888226291435,20,14,236,88,34,324,5.78074351579233,1,FALSE,0,0
"1345","SLP",1,445,450,"4",2015,58,98,83,30,18,1,2016,0,NA,"1",59,117,87,121,88,0.125,2,150420.241652043,11.724074333075,11.9654427334195,0.0203783599738006,18,30,704,968,48,1672,7.42177579364465,1,FALSE,0,0
"1346","SLP",1,445,450,"4",2014,55,87,83,74,133,0.25,2015,0,NA,"1",58,98,83,30,18,1,2,150420.241652043,11.5519051477451,11.724074333075,0.0147939918550657,532,296,18,30,828,48,3.87120101090789,1,FALSE,0,0
"1347","SLP",1,445,450,"5",2014,44,64,63,3,4,1,2015,0,NA,"1",49,75,71,0,0,1,2,150420.241652043,10.7460306797309,11.1318115247497,0.0352704652846256,4,3,0,0,7,0,NA,0,FALSE,0,0
"1348","SLP",1,45,50,"2",2016,62,97,86,12,63,0.5,2017,0,NA,"1",62,102,87,12,55,0.5,6,438522.87574276,11.8160158958634,11.8778385530453,0.00521846689093763,126,24,110,24,150,134,4.89783979995091,1,FALSE,0,0
"1349","SLP",1,45,50,"1",2014,58,98,90,0,0,1,2015,0,NA,"1",71,111,99,0,0,1,6,438522.87574276,11.8050433956087,12.2271531645496,0.035132301264714,0,0,0,0,0,0,NA,0,FALSE,0,0
"1350","SLP",1,45,50,"2",2014,48,77,61,1,0,1,2015,0,NA,"1",59,83,79,0,0,1,6,438522.87574276,10.9857035329963,11.5256491402307,0.0479801631636656,0,1,0,0,1,0,NA,0,FALSE,0,0
"1351","SLP",1,45,50,"1",2015,71,111,99,0,0,1,2016,0,NA,"1",71,119,109,18,39,0.5,6,438522.87574276,12.2271531645496,12.3929744884434,0.0134705907031933,0,0,78,36,0,114,4.7361984483945,1,FALSE,0,0
"1352","SLP",1,45,50,"1",2016,71,119,109,18,39,0.5,2017,0,NA,"1",84,124,113,1,30,0.5,6,438522.87574276,12.3929744884434,12.6383094192221,0.0196028927593828,78,36,60,2,114,62,4.12713438504509,1,FALSE,0,0
"1353","SLP",1,45,50,"2",2015,59,83,79,0,0,1,2016,0,NA,"1",62,97,86,12,63,0.5,6,438522.87574276,11.5256491402307,11.8160158958634,0.0248809786826309,0,0,126,24,0,150,5.01063529409626,1,FALSE,0,0
"1354","SLP",1,5,0,"10",2014,33,45,39,0,1,1,2015,0,NA,"1",34,53,43,0,0,1,12,1009391.36340391,9.62655493342785,9.91767578992325,0.0297931798239159,1,0,0,0,1,0,NA,0,FALSE,0,0
"1355","SLP",1,5,0,"7",2015,50,83,68,0,0,1,2016,0,NA,"1",59,89,81,6,67,0.25,12,1009391.36340391,11.2101945544622,11.6204462043717,0.0359425580026023,0,0,268,24,0,292,5.67675380226828,1,FALSE,0,0
"1356","SLP",1,5,0,"10",2016,40,58,44,1,51,1,2017,0,NA,"1",42,58,44,5,10,1,12,1009391.36340391,10.19333533464,10.2421254988094,0.00477505814751655,51,1,10,5,52,15,2.70805020110221,1,FALSE,0,0
"1357","SLP",1,5,0,"8",2014,81,86,62,0,5,1,2015,0,NA,"1",84,94,70,0,0,1,12,1009391.36340391,11.6357540720324,11.8824300592241,0.0209782381422254,5,0,0,0,5,0,NA,0,FALSE,0,0
"1358","SLP",1,5,0,"9",2014,42,57,34,0,0,1,2015,0,NA,"1",51,31,33,0,0,1,12,1009391.36340391,9.96690464679548,9.52214363473735,-0.0456500738763266,0,0,0,0,0,0,NA,0,FALSE,0,0
"1359","SLP",1,5,0,"10",2015,34,53,43,0,0,1,2016,0,NA,"1",40,58,44,1,51,1,12,1009391.36340391,9.91767578992325,10.19333533464,0.0274155096929558,0,0,51,1,0,52,3.95124371858143,1,FALSE,0,0
"1360","SLP",1,5,0,"8",2015,84,94,70,0,0,1,2016,0,NA,"1",84,100,85,4,78,0.25,12,1009391.36340391,11.8824300592241,12.1384614773831,0.0213182024617811,0,0,312,16,0,328,5.79301360838414,1,FALSE,0,0
"1361","SLP",1,5,0,"9",2016,53,77,30,3,39,1,2017,0,NA,"1",41,74,36,0,2,1,12,1009391.36340391,10.3751179531294,10.260979334426,-0.0110621481426203,39,3,2,0,42,2,0.693147180559945,1,FALSE,0,0
"1362","SLP",1,5,0,"7",2016,59,89,81,6,67,0.25,2017,0,NA,"1",55,81,74,0,58,0.5,12,1009391.36340391,11.6204462043717,11.3656706691705,-0.0221686830053054,268,24,116,0,292,116,4.75359019110636,1,FALSE,0,0
"1363","SLP",1,5,0,"8",2016,84,100,85,4,78,0.25,2017,0,NA,"1",88,100,79,0,11,0.5,12,1009391.36340391,12.1384614773831,12.1117780889947,-0.00220067097351606,312,16,22,0,328,22,3.09104245335832,1,FALSE,0,0
"1364","SLP",1,5,0,"9",2015,51,31,33,0,0,1,2016,0,NA,"1",53,77,30,3,39,1,12,1009391.36340391,9.52214363473735,10.3751179531294,0.0857904398564231,0,0,39,3,0,42,3.73766961828337,1,FALSE,0,0
"1365","SLP",1,5,0,"7",2014,45,82,80,0,6,1,2015,0,NA,"1",50,83,68,0,0,1,12,1009391.36340391,11.2552316077699,11.2101945544622,-0.00400945998674862,6,0,0,0,6,0,NA,0,FALSE,0,0
"1366","SLP",1,50,50,"5",2014,76,73,73,126,73,1,2015,0,NA,"1",81,93,85,13,4,1,3,207384.646844484,11.5714754586445,12.0295231403774,0.03882083240652,73,126,4,13,199,17,2.83321334405622,1,FALSE,0,0
"1367","SLP",1,50,50,"3",2014,41,57,51,9,9,1,2015,0,NA,"1",46,64,61,0,0,1,3,207384.646844484,10.3482722033246,10.7582215800835,0.038850691512883,9,9,0,0,18,0,NA,0,FALSE,0,0
"1368","SLP",1,50,50,"5",2015,81,93,85,13,4,1,2016,0,NA,"1",82,93,87,63,114,0.5,3,207384.646844484,12.0295231403774,12.0650500951335,0.0029489611752096,4,13,228,126,17,354,5.86929691313377,1,FALSE,0,0
"1369","SLP",1,50,50,"4",2014,56,87,55,7,4,1,2015,0,NA,"1",59,101,79,0,0,1,3,207384.646844484,11.1584162306836,11.7219290492754,0.0492673331837175,4,7,0,0,11,0,NA,0,FALSE,0,0
"1370","SLP",1,50,50,"4",2016,63,115,82,14,37,0.25,2017,0,NA,"1",64,115,94,12,81,0.5,3,207384.646844484,11.9546093380804,12.1069332300543,0.012661360048539,148,56,162,24,204,186,5.2257466737132,1,FALSE,0,0
"1371","SLP",1,50,50,"3",2015,46,64,61,0,0,1,2016,0,NA,"1",50,75,71,68,69,1,3,207384.646844484,10.7582215800835,11.1520142320672,0.0359498697951235,0,0,69,68,0,137,4.91998092582813,1,FALSE,0,0
"1372","SLP",1,50,50,"5",2016,82,93,87,63,114,0.5,2017,0,NA,"1",84,99,86,16,104,0.25,3,207384.646844484,12.0650500951335,12.1401071812928,0.00620176319216847,228,126,416,64,354,480,6.17378610390194,1,FALSE,0,0
"1373","SLP",1,50,50,"4",2015,59,101,79,0,0,1,2016,0,NA,"1",63,115,82,14,37,0.25,3,207384.646844484,11.7219290492754,11.9546093380804,0.0196555574222912,0,0,148,56,0,204,5.31811999384422,1,FALSE,0,0
