light,site,subsite,individual,end.year,end.number.leaves,end.av.leaf.length,end.av.leaf.width,end.av.leaf.area,end.total.leaf.area
L,L2,,247,2008,1,7.9,2.4,14.89114918,14.89114918
L,L2,,248,2008,1,8.2,0.9,5.796238446,5.796238446
L,L2,,250,2008,1,12.4,2.2,21.4256619,21.4256619
L,L2,,253,2008,1,11.4,1.1,9.848892969,9.848892969
L,L2,,254,2008,1,12.1,1.1,10.45364955,10.45364955
L,L2,,256,2008,1,6.9,0.8,4.335397862,4.335397862
L,L2,,257,2008,1,6.4,0.6,3.015928947,3.015928947
L,L2,,258,2008,1,9.3,1.7,12.41714496,12.41714496
L,L2,,260,2008,1,8.4,1.1,7.25707903,7.25707903
L,L2,,263,2008,1,7.1,1,5.57632696,5.57632696
L,L2,,264,2008,1,9.9,0.9,6.997897636,6.997897636
L,L2,,265,2008,1,9.4,1.3,9.597565557,9.597565557
L,L2,,266,2008,1,7.4,0.9,5.230751768,5.230751768
L,L2,,267,2008,1,8.8,1,6.911503838,6.911503838
L,L2,,269,2009,1,7,1.7,9.346238144,9.346238144
L,L2,,271,2009,1,14.2,3.2,35.68849254,35.68849254
L,L2,,274,2009,1,12.3,2.1,20.28683456,20.28683456
L,L2,,275,2009,1,7.2,2,11.30973355,11.30973355
L,L2,,277,2009,1,13.2,3,31.10176727,31.10176727
L,L2,,278,2009,1,12.1,1.1,10.45364955,10.45364955
L,L2,,279,2009,1,11.1,1.1,9.589711575,9.589711575
L,L2,,283,2009,1,9,1.2,8.482300165,8.482300165
L,L2,,292,2009,1,8.4,1.7,11.21548577,11.21548577
L,L2,,294,2009,1,10.4,2.6,21.23716634,21.23716634
L,L2,,298,2009,1,9.1,1.8,12.86482192,12.86482192
L,L2,,299,2009,1,9.1,1.9,13.57953425,13.57953425
L,L2,,300,2009,1,12.1,2,19.00663555,19.00663555
L,L2,,301,2009,1,5.1,0.7,2.803871443,2.803871443
L,L2,,302,2009,1,6.2,0.4,1.947787445,1.947787445
L,L2,,308,2010,1,7.2,1.7,9.61327352,9.61327352
L,L2,,309,2010,1,8.3,1.4,9.126326659,9.126326659
L,L2,,316,2010,1,7.3,1.7,9.746791208,9.746791208
L,L2,,320,2010,1,11.4,2.1,18.80243203,18.80243203
L,L2,,321,2010,1,9.3,1.7,12.41714496,12.41714496
L,L2,,324,2010,1,8.3,1.5,9.778207134,9.778207134
L,L2,,325,2010,1,7.1,1,5.57632696,5.57632696
L,L2,,327,2010,1,12,2.8,26.38937829,26.38937829
L,L2,,328,2010,1,9.2,2.1,15.17389252,15.17389252
L,L2,,329,2010,1,8.2,0.7,4.508185458,4.508185458
L,L2,,330,2010,1,7.4,1.2,6.974335691,6.974335691
L,L2,,331,2010,1,9.4,1.1,8.12101701,8.12101701
L,L2,,332,2010,1,10.1,1.3,10.31227789,10.31227789
L,L2,,339,2010,1,11.1,1.6,13.94867138,13.94867138
L,L2,,340,2010,1,5.3,2.1,8.741481559,8.741481559
L,L2,,342,2010,1,8.4,1.1,7.25707903,7.25707903
L,L2,,347,2010,1,10.1,1.5,11.89878218,11.89878218
L,L2,,351,2010,1,8.4,1.2,7.916813487,7.916813487
L,L2,,353,2010,1,8.3,2.1,13.68948999,13.68948999
L,L2,,357,2010,1,8.1,1.8,11.45110522,11.45110522
L,L2,,360,2010,1,7.3,1.1,6.306747252,6.306747252
L,L2,,362,2010,1,8,1.3,8.168140899,8.168140899
L,L2,,367,2010,1,6.8,1.1,5.874778262,5.874778262
L,L2,,368,2010,1,7.2,1.2,6.785840132,6.785840132
L,L2,,370,2010,1,6.3,1.1,5.442809272,5.442809272
L,L2,,371,2010,1,5.4,0.7,2.968805058,2.968805058
L,L2,,372,2010,1,4,0.4,1.256637061,1.256637061
L,L2,,373,2010,1,6.9,0.9,4.877322595,4.877322595
L,L2,,375,2010,1,5.1,0.6,2.40331838,2.40331838
L,L2,,377,2010,1,7.4,0.8,4.649557127,4.649557127
L,L2,,378,2010,1,10.2,1.3,10.41437965,10.41437965
L,L2,,379,2010,1,7.3,0.8,4.586725274,4.586725274
L,L2,,381,2010,1,7,1,5.497787144,5.497787144
S,S2,,67,2004,1,13.3,1.6,16.71327292,16.71327292
S,S2,,70,2004,1,10.8,2,16.96460033,16.96460033
S,S2,,70,2010,1,9,2.3,16.25774198,16.25774198
S,S2,,71,2005,1,12.5,3,29.45243113,29.45243113
S,S2,,72,2005,1,4,0.5,1.570796327,1.570796327
S,S2,,73,2005,1,12.4,2,19.47787445,19.47787445
S,S2,,75,2006,1,5.2,0.8,3.26725636,3.26725636
S,S2,,75,2009,1,8.5,0.7,4.673119072,4.673119072
S,S2,,76,2007,1,9.6,2,15.07964474,15.07964474
S,S2,,77,2009,1,4.5,0.4,1.413716694,1.413716694
S,S1,b,88,2004,1,8.1,1.1,6.997897636,6.997897636
S,S1,b,89,2005,1,9.3,1.2,8.765043504,8.765043504
S,S1,b,91,2007,1,8.6,0.8,5.403539364,5.403539364
S,S1,b,93,2009,1,11.1,2.8,24.41017492,24.41017492
S,S1,b,94,2009,1,9.2,2.3,16.61902514,16.61902514
S,S1,b,95,2009,1,8,1.4,8.79645943,8.79645943
S,S1,b,96,2010,1,9.4,1.1,8.12101701,8.12101701
S,S1,b,99,2010,1,9.2,1.5,10.83849465,10.83849465
S,S1,b,100,2010,1,10.8,1.8,15.2681403,15.2681403
S,S1,b,101,2010,1,10.1,1.6,12.69203432,12.69203432
,L1,,86,2006,1,6.6,0.8,4.146902303,4.146902303
L,L1,,82,2006,2,8.5,2.1,14.01935722,28.03871443
L,L1,,83,2006,2,11.5,2.6,23.48340509,46.96681017
L,L1,,90,2007,2,6.75,1.65,8.747372045,17.49474409
L,L1,,91,2007,2,7,1.3,7.147123287,14.29424657
L,L1,,96,2007,2,4.3,0.85,2.870630287,5.741260574
L,L1,,102,2008,2,8.6,0.8,5.403539364,10.80707873
