light,site,individual,begin.year,number.leaves,av.leaf.length,av.leaf.width,av.leaf.area,total.leaf.area,flowering,inflorescence.height,number.flowers,number.fruits,end.year,end.number.leaves,end.av.leaf.length,end.av.leaf.width,end.av.leaf.area,end.total.leaf.area,end.flowering,end.inflorescence.height,end.number.flowers,end.number.fruits,survival,dormant,comments
L,L2,185,2010,7,14.40,6.13,69.366,485.565,1,39,82,4,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,223,2010,7,13.67,4.17,44.724,313.068,1,37,45,3,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,113,2012,7,14.03,3.60,39.678,277.748,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S2,4,2009,7,18.30,6.23,89.590,627.133,1,61,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,177,2009,8,15.60,4.93,60.444,483.554,1,38,47,13,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,168,2007,0,NA,NA,NA,NA,NA,NA,NA,NA,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,29,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,2009,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
#S,S2,1,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,2009,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,301,2009,1,5.10,0.70,2.804,2.804,0,NA,NA,NA,2010,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,48,2003,1,7.90,1.10,6.825,6.825,0,NA,NA,NA,2004,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,80,2010,2,14.30,1.45,16.285,32.570,0,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
