"species","quad","year","genetID","allcov.0.2","allcov.2.4","allcov.4.6","allcov.6.8","allcov.8.10","allcov.10.12","allcov.12.14","allcov.14.16","allcov.16.18","allcov.18.20","allcov.20.25","allcov.25.30","allcov.30.35","allcov.35.40","allcov.40.45","allcov.45.50","allcov.50.60","allcov.60.70","allcov.70.80","allcov.80.90","allcov.90.100","allcov.100.110","allcov.110.120","allcov.120.130","allcov.130.140","allcov.140.150","allpts.0.2","allpts.2.4","allpts.4.6","allpts.6.8","allpts.8.10","allpts.10.12","allpts.12.14","allpts.14.16","allpts.16.18","allpts.18.20","allpts.20.25","allpts.25.30","allpts.30.35","allpts.35.40","allpts.40.45","allpts.45.50","allpts.50.60","allpts.60.70","allpts.70.80","allpts.80.90","allpts.90.100","allpts.100.110","allpts.110.120","allpts.120.130","allpts.130.140","allpts.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"ARTR","Q52",2016,62,0,0,0.25,0.0178600094287034,1.66198157009716,0.243269460030627,2.41514257561034,13.0700149096146,23.4255747151463,31.3089912607146,122.186751708425,96.9336535886038,72.532706285597,68.6111309223267,72.983223470225,70.0867287975399,91.6132042265459,32.3974789169474,128.918221655469,180.639238873527,41.1769556147652,94.6082790264306,3.39824860943008,0,0,0,0,3,3,4,0,1,2,2,1,0,6,9,5,4,0,9,11,22,14,10,5,2,0,0,0,0,1,1,1,1,1,1,1,1,0.987922119471889,0.938617440840677,0.801702562467483,0.699037022919003,0.627097279983781,0.574324304359575,0.53413491102776,0.502591322032919,0.456393235024425,0.424284053706697,0.400722711563607,0.360246243564697,0.308461758208834,0.261761191342426,0.221084897285224,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q52",2016,63,0,0.25,0,0.25,0.0667706169694848,2.08463779448377,3.65275517484918,15.875218274983,22.5974490806869,27.8276037229212,92.2316982997178,115.898199313878,63.4010232356737,72.7889481985439,54.9817863996975,68.1561475527278,121.16300295833,26.9682580261667,113.273687411478,183.924157803873,52.4419644115861,96.5908319429448,14.0545159769645,0,0,0,0,4,3,3,1,1,1,1,1,2,4,5,8,6,0,5,15,19,13,12,7,2,0,0,0,0,1,1,1,1,1,1,1,0.978251933122371,0.940973274758746,0.884097964634825,0.749601302962505,0.656844783454278,0.591969428237385,0.544383791200547,0.508127175812854,0.479650637144757,0.43789764084487,0.40883513034308,0.387481248332256,0.354644960525773,0.305904427831089,0.260882886663728,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q52",2016,64,0,0,0,0.675985849497684,1.49712519005881,0,0,6.8082877518445,18.9618224667765,29.9209555010798,135.107915671809,93.2180349652891,78.4949745399073,79.4840162614795,87.6463615919183,76.3067641559206,59.327478713874,40.8294241664883,133.829698985522,172.052109076392,43.3820554824357,89.9203346559138,1.01531117026934,0,0,0,1,2,2,2,3,1,2,2,1,2,5,8,6,1,2,9,12,21,19,5,7,0,0,0,0,0,1,1,1,1,1,1,1,1,0.991754801534587,0.955129683711197,0.822566355029464,0.716344034685368,0.641673395705519,0.586834940577359,0.545053074970864,0.512254335307181,0.46421828243984,0.430837976946741,0.406350665292353,0.36239707977527,0.309438607370348,0.262064029813104,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q52",2016,65,0,0.000468772744033192,0.657529843151255,1.51511242366121,0,0.234874903258302,0.0151250967416985,0.468440604362992,2.33918164138298,16.2139869948626,74.3571113765703,132.259474506405,76.1163615244478,85.3620836073825,109.675771486485,72.3575598749151,87.9610409285947,25.6446738307035,97.7645876632128,165.220322624392,83.3166387469714,89.8358435240573,27.1624662221732,0,0,0,1,2,3,2,1,2,2,2,2,2,2,4,9,4,2,1,17,18,15,13,7,2,0,0,0,0,1,1,1,1,1,1,0.995086591976722,0.96196661343125,0.902611713486506,0.838654857347933,0.708845433550212,0.623458902679445,0.563954138557449,0.520364577522101,0.487166006902696,0.4610911069787,0.422846951761038,0.396209165356257,0.376623107789701,0.349675999006175,0.3035564922643,0.259983748711824,0.221073587975711,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q52",2016,66,0,0.626223584420621,1.29688745513587,0.0343577603776832,0.215642239622317,0,0.25,0,0.405480223878294,2.26387326026809,63.1053326920888,130.73243058473,89.5862616590706,105.360625876903,114.768546489279,90.8881297654563,60.4294613057344,25.3602856887036,97.8677584435518,162.413016021159,85.876033399865,88.2898219482586,28.7084877979719,0,0,0,1,3,0,2,3,1,3,1,4,1,4,3,8,3,2,2,17,17,21,8,7,2,0,0,0,0,1,1,1,1,1,0.997428476572558,0.960597959984455,0.919361318103714,0.879412014772874,0.823803000255322,0.700572460334105,0.617876361532997,0.559859866923077,0.517195381389451,0.484616468265053,0.458980028339803,0.421305482978553,0.395014317718516,0.375657449091792,0.348825280852333,0.303285600339859,0.259890519749116,0.221068886884727,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q52",2016,67,0,1.55883014123781,0.364280898318683,0,0.25,0,0.25,0,0.0167374616244622,0.483262538375538,44.8821855815679,125.684606941573,100.624688628823,104.527163024015,119.312255714281,101.88826363762,59.8779145420679,25.3533494761652,87.0639727530092,159.576202164246,99.7666329473202,81.3956226462174,35.6026871000131,0,0,0,0,1,3,0,5,1,2,3,3,2,3,2,6,6,2,2,16,16,22,9,7,2,0,0,0,0,1,1,1,1,1,0.974784562298197,0.928801490571063,0.886422637991041,0.847391187707498,0.793342705052803,0.677172604770992,0.599399104713654,0.544692553306168,0.504383793410936,0.473556291134024,0.449267506970365,0.41352124197218,0.388536266973279,0.370119040472324,0.345554628941997,0.301940917967919,0.259354493132721,0.221020764263668,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q52",2016,68,0.0310019356855292,1.64210910387097,0.25,0,0.0231290987359181,0.226870901264082,0.0779313802336468,0.172068619766353,0,0.5,27.5099168791187,118.826783910948,108.898932238503,110.745275390793,127.868850731459,108.472703309247,54.3581521026294,24.1432815904332,80.5128495089101,160.287968940893,106.655627306097,76.9163029480901,40.3589002997951,0,0,0,0,1,1,2,4,3,1,4,1,3,3,2,5,6,3,2,16,15,23,9,6,3,0,0,0,0,1,1,1,1,0.990832682250342,0.940831630936047,0.892046202740844,0.850591772301256,0.816006094270575,0.767987834692245,0.659461717902328,0.585930188294049,0.533903698066128,0.495428834832691,0.465928035074302,0.442638765192209,0.408290971926005,0.384232014813403,0.36646925529002,0.342184654685794,0.30098101254422,0.25897157277586,0.22097159160181,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q52",2016,69,0,0.25,0.972632811486877,0.700478228069617,0.206584986052943,0.293415013947057,0,0,0.421187269027111,0.0788127309728894,22.1996763801223,73.4617761510444,129.997805432126,86.7097846088315,113.420418039823,125.386325650972,102.184438252051,12.1985697998965,52.4170229585764,141.257378475535,156.211856875514,49.333061892755,80.7233573751976,0.0540732644731179,0,0,0,0,1,3,3,3,2,2,2,3,2,3,2,9,3,3,14,12,17,17,6,6,0,0,0,0,1,1,1,1,0.952122329741314,0.894791802937886,0.846987542860147,0.794635276499562,0.732722585488257,0.681131128346732,0.587946242955387,0.52669852785999,0.483769410042801,0.452144239653478,0.42793456960471,0.408833912000445,0.380662062090791,0.360915077985439,0.34632251369231,0.330099683370546,0.295465601288838,0.256526000498216,0.220431393879004,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q52",2016,7,0,0,0,0,0.232183799172002,2.99987293988474,10.5410495971318,12.8467341707144,2.19579260889816,0.25,14.4785853192338,47.5779233019696,69.6014920583425,131.103731525306,102.512872781054,32.9163710444427,37.4872546317173,34.2247970381338,155.91313317437,318.789333045635,170.540952165456,2.6103770965542,1.65619989845936,0,0,0,0,0,0,0,1,3,0,2,0,2,4,2,4,7,3,5,17,12,13,12,16,6,4,0,0,0,0.54748113983684,0.523757250553776,0.515839948545029,0.511880541974495,0.509504712253546,0.507920748362557,0.506789307671239,0.505940706416199,0.505280670930525,0.504752634799565,0.503802152427265,0.503168485126955,0.493165415827515,0.473597954091111,0.45467912300287,0.437804954205385,0.410213403174715,0.388232608794526,0.35674925908483,0.325921910318993,0.29856021158261,0.25940610975629,0.221055718216796,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q52",2016,70,0,0.25,0.229667845551091,1.6934431940054,0,0.25,0,0.5,0.0162050067116057,13.031985348078,64.5335901884399,123.275140356425,88.8158888846665,76.765156310501,112.547787050535,78.043764570788,97.8161444054341,26.8293839590717,80.5225770436613,156.555066048991,109.804546237385,79.828928924926,37.1693808213045,0,0,0,0,3,4,1,1,1,2,4,1,2,2,4,8,5,2,1,17,14,17,15,6,3,0,0,0,0,1,1,1,1,1,1,0.9804248070359,0.933041693431583,0.865448126311641,0.800044207753663,0.677958552582443,0.598382139754871,0.543000534560608,0.502441952595129,0.471546772190599,0.447273476436586,0.41165168543365,0.386820743985161,0.368550370010923,0.345634839573847,0.301641584157552,0.259205095907289,0.221000804990458,0.188380030821795,0.162429720455475,0.141494334262925
