"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Year_t1","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","comments","Ant_sp_t","Ant_sp_t1"
"103","T3","LJ19",0,2004,71,42,42,9,0,0,NA,26,2005,0,1,72,44,35,2,0,0,NA,6,"","liom","liom"
"104","T3","LJ2",0,2004,61,56,56,9,0,0,NA,28,2005,0,1,67,59,56,13,0,0,NA,15,"","liom","liom"
"105","T3","LJ20",0,2004,49,37,37,11,0,0,NA,0,2005,0,1,52,32,25,3,0,0,NA,0,"","vacant","vacant"
"106","T3","LJ4",0,2004,71,63,63,26,0,0,NA,21,2005,0,1,76,67,52,14,8,8,0,28,"","liom","liom"
"107","T3","LJ6",0,2004,56,36,36,11,0,0,NA,18,2005,0,1,62,38,35,4,0,1,1,4,"","liom","other"
"108","T3","LJ8",0,2004,38,24,24,9,0,0,NA,0,2005,0,1,47,32,29,6,0,0,NA,0,"","vacant","vacant"
"109","T3","SJ10",0,2004,19,9,9,3,0,0,NA,0,2005,0,1,29,12,8,4,0,0,NA,0,"","vacant","vacant"
"110","T3","SJ11",0,2004,17,23,23,5,0,0,NA,0,2005,0,1,17,23,7,1,0,0,NA,0,"","vacant","vacant"
"111","T3","SJ12",0,2004,28,20,20,3,0,0,NA,8,2005,0,1,35,25,17,2,0,0,NA,0,"","liom","vacant"
"112","T3","SJ13",0,2004,25,10,10,7,0,0,NA,0,2005,0,1,24,15,8,4,0,0,NA,0,"","vacant","vacant"
"113","T3","SJ14",0,2004,25,31,31,7,0,0,NA,9,2005,0,1,29,32,18,2,0,0,NA,1,"","liom","liom"
"114","T3","SJ15",0,2004,27,23,23,3,0,0,NA,0,2005,0,1,32,29,23,1,0,0,NA,0,"","vacant","vacant"
"115","T3","SJ19",0,2004,21,13,13,1,0,0,NA,0,2005,0,1,21,12,7,0,0,0,NA,0,"","vacant","vacant"
"116","T3","SJ3",0,2004,12,7,7,3,0,0,NA,0,2005,0,1,8,2,2,2,0,0,NA,0,"","vacant","vacant"
"117","T3","SJ5",0,2004,27,20,20,5,0,0,NA,2,2005,0,1,28,19,15,1,0,0,NA,0,"","crem","vacant"
"118","T3","SJ9",0,2004,27,16,16,4,0,0,NA,2,2005,0,1,30,20,9,2,0,0,NA,0,"","liom","vacant"
"119","HT1B1","HT1B1",0,2005,1.5,0.3,0.3,NA,NA,NA,NA,0,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"120","HT2B3","HT2B3",0,2005,1.3,0.2,0.2,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"121","HT2B3","HT2B3",0,2005,1.6,0.3,0.3,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"122","HT2B3","HT2B3",0,2005,2.5,0.4,0.4,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"123","HT2B3","HT2B3",0,2005,2.4,0.3,0.3,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"124","HT3B1","HT3B1",0,2005,1.4,0.3,0.3,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"125","HT3B1","HT3B1",0,2005,1.5,0.3,0.3,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"126","HT3B2","HT3B2",0,2005,2.4,0.4,0.4,NA,NA,NA,NA,0,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
