ID,year_t,...1,Plot,TagID,Transplant,Year_t,Height_t,Width_t,Perp_t,NS_t,Goodbuds_t,TotFlowerbuds_t,ABFlowerbuds_t,Antcount_t,Year_t1,Newplant,Survival_t1,Height_t1,Width_t1,Perp_t1,FLAG,NS_t1,Goodbuds_t1,TotFlowerbuds_t1,ABFlowerbuds_t1,Antcount_t1,comments,Ant_sp_t,Ant_sp_t1,vol_t,vol_t1,plot
17.1,2014,3683,1,17,0,2014,16,16,4,0,0,NA,0,0,2015,0,1,10,2,2,,4,0,NA,0,0,barely alive,vacant,vacant,418.8790205,10.47197551,1
17.3,2011,1822,3,17,0,2011,98,47,40,0,0,NA,NA,7,2012,0,1,73,26,13,,27,0,NA,NA,1,NA,liom,liom,48548.20937,7267.092856,3
17.7,2013,3364,7,17,0,2013,3,2,1,0,0,NA,0,0,2014,0,1,10,3,6,,0,0,NA,0,0,NA,vacant,vacant,1.767145868,53.01437603,7
17.7,2012,2792,7,17,0,2012,5,7,6,3,0,NA,NA,0,2013,0,1,3,2,1,,0,0,NA,0,0,NA,vacant,vacant,55.30512067,1.767145868,7
18.3,2016,5437,3,18,0,2016,82,73,38,7,1,NA,0,0,2017,0,1,91,109,65,,12,8,NA,0,23,1 ad. pent 1 juv. pent,vacant,liom,66125.42027,180321.9205,3
20.4,2011,1918,4,20,0,2011,42,37,28,0,0,NA,NA,0,2012,0,1,39,11,7,,0,0,NA,NA,0,NA,vacant,vacant,11614.07534,827.0242661,4
20.8,2011,2210,8,20,0,2011,29,37,25,0,0,NA,NA,0,2012,0,1,57,68,63,,5,0,NA,NA,14,NA,vacant,crem,7296.087139,64021.53494,8
21.3,2014,3877,3,21,0,2014,56,44,28,18,1,NA,0,34,2015,0,1,131,82,59,1,19,5,NA,0,23,NA,liom,liom,19000.35237,170458.3013,3
21.3,2009,689,3,21,0,2009,90,43,34,5,0,NA,NA,16,2010,0,1,101,57,56,1,14,3,NA,NA,NA,NA,liom,liom,34924.69283,84408.63867,3
21.3,2013,3123,3,21,0,2013,123,78,54,13,4,NA,1,25,2014,0,1,56,44,28,1,18,1,NA,0,34,NA,liom,liom,140268.9704,19000.35237,3
21.6,2011,2076,6,21,0,2011,115,57,52,12,0,NA,NA,16,2012,0,1,111,109,66,1,58,3,NA,NA,7,NA,liom,liom,89425.10764,222488.5735,6
21.6,2013,3307,6,21,0,2013,118,121,72,61,2,NA,2,33,2014,0,1,64,79,76,1,38,2,NA,1,52,"roots partially exposed, difficult to get good height measurement",liom,liom,287677.0792,100635.6847,6
21.7,2011,2152,7,21,0,2011,31,35,7,0,0,NA,NA,0,2012,0,1,20,10,5,,3,0,NA,NA,0,NA,vacant,vacant,3579.059431,294.5243113,7
22.3,2017,6214,3,22,0,2017,182,186,82,21,36,NA,0,44,2018,0,1,178,212,116,,34,18,NA,0,63,NA,liom,liom,855558.3049,1253361.427,3
22.3,2015,4645,3,22,0,2015,176,189,91,53,86,NA,2,41,2016,0,1,177,193,138,,49,40,NA,8,7,NA,liom,liom,903103.1682,1269222.871,3
24.8,2011,2214,8,24,0,2011,84,41,31,6,0,NA,NA,5,2012,0,1,103,64,56,,15,8,NA,NA,0,NA,liom,vacant,28500.52855,97075.213,8
25.1,2011,1648,1,25,0,2011,41,18,11,0,0,NA,NA,0,2012,0,1,56,43,25,,7,0,NA,NA,1,NA,vacant,liom,2256.776173,16947.84517,1
25.5,2009,885,5,25,0,2009,24,25,21,2,0,NA,NA,4,2010,0,1,12,14,7,,0,0,NA,NA,NA,NA,crem,vacant,3323.805027,346.3605901,5
25.7,2011,2156,7,25,0,2011,44,37,37,0,0,NA,NA,0,2012,0,1,65,60,53,,18,0,NA,NA,0,NA,vacant,vacant,15769.74792,54322.39122,7
26.3,2011,1831,3,26,0,2011,131,92,85,0,0,NA,NA,29,2012,0,1,142,129,128,,106,36,NA,NA,14,NA,liom,liom,268612.6514,613851.3656,3
26.3,2016,5445,3,26,0,2016,152,146,140,57,158,NA,0,24,2017,0,1,144,180,162,,35,104,NA,3,62,NA,liom,liom,813737.4235,1102359.729,3
26.4,2011,1924,4,26,0,2011,57,28,18,0,0,NA,NA,0,2012,0,1,16,4,3,,4,0,NA,NA,0,NA,vacant,vacant,7894.03694,51.31268001,4
26.8,2015,5171,8,26,0,2015,113,200,185,73,89,NA,3,9,2016,0,1,176,199,182,,49,54,NA,17,4,1 camp,liom,liom,1096247.303,1672134.681,8
28.5,2009,888,5,28,0,2009,86,44,25,0,1,NA,NA,2,2010,0,1,91,53,48,,48,18,NA,NA,NA,NA,fore,NA,26798.17803,60756.50387,5
28.8,2013,3437,8,28,0,2013,63,123,63,13,0,NA,0,0,2014,0,1,61,194,141,1,20,2,NA,0,25,"plant toppled over and hard to measure, overlapping with 8-29, likley mismeasured in 2013",vacant,liom,142651.083,448051.6535,8
28.8,2017,6699,8,28,0,2017,98,128,103,2,0,NA,3,0,2018,0,1,92,82,51,1,12,1,NA,0,40,yellow,vacant,camp,342261.9897,106512.2955,8
28.8,2012,2863,8,28,0,2012,77,182,115,22,21,NA,NA,17,2013,0,1,63,123,63,1,13,0,NA,0,0,NA,liom,vacant,444541.4473,142651.083,8
28.8,2014,4371,8,28,0,2014,61,194,141,20,2,NA,0,25,2015,0,1,72,125,61,1,19,7,NA,3,0,NA,liom,vacant,448051.6535,163029.8092,8
29.2,2009,614,2,29,0,2009,27,17,13,1,0,NA,NA,4,2010,0,1,11,8,2,,0,0,NA,NA,NA,NA,liom,vacant,1590.431281,71.99483164,2
29.3,2009,697,3,29,0,2009,9,85,6,0,0,NA,NA,0,2010,0,1,10,6,4,1,0,0,NA,NA,NA,NA,vacant,vacant,4877.911643,65.44984695,3
29.6,2014,4187,6,29,0,2014,99,115,100,43,17,NA,3,5,2015,0,1,124,164,105,,32,32,NA,7,0,NA,camp,vacant,299516.4984,587266.0305,6
29.6,2011,2082,6,29,0,2011,115,125,88,0,0,NA,NA,0,2012,0,1,144,179,101,,63,64,NA,NA,3,NA,vacant,crem,341480.3222,738902.5921,6
29.6,2013,3312,6,29,0,2013,148,135,93,14,2,NA,1,3,2014,0,1,99,115,100,,43,17,NA,3,NA,T: 2 dead honey pot,crem,NA,503547.0369,299516.4984,6
29.8,2014,4372,8,29,0,2014,71,59,29,2,0,NA,0,0,2015,0,1,58,110,56,1,9,0,NA,0,0,overlapping with 8-28,vacant,vacant,35985.89665,104605.087,8
29.8,2012,2864,8,29,0,2012,72,49,43,9,0,NA,NA,0,2013,0,1,64,112,47,1,0,0,NA,0,0,NA,vacant,vacant,39885.66033,105896.8052,8
29.8,2013,3438,8,29,0,2013,64,112,47,0,0,NA,0,0,2014,0,1,71,59,29,1,2,0,NA,0,0,"last years W1 may be wrong - overlapping with 8-28, likley mis-measured in 2013",vacant,vacant,105896.8052,35985.89665,8
30.1,2016,5258,1,30,0,2016,40,22,6,1,0,NA,0,0,2017,0,1,14,6,5.5,,0,0,NA,0,0,NA,vacant,vacant,2052.5072,121.1803916,1
30.3,2017,6221,3,30,0,2017,139,113,100,48,42,NA,0,52,2018,0,1,149,124,124,,14,23,NA,2,27,NA,liom,liom,412745.7808,599788.6806,3
30.4,2011,1926,4,30,0,2011,47,19,18,0,0,NA,NA,0,2012,0,1,17,11,8,,7,0,NA,NA,0,NA,vacant,vacant,4211.239502,401.6657107,4
31.6,2012,2728,6,31,0,2012,153,102,95,55,72,NA,NA,1,2013,0,1,158,156,92,,25,9,NA,7,0,NA,camp,vacant,388626.5959,636017.5271,6
31.6,2015,4980,6,31,0,2015,153,128,115,16,32,NA,9,0,2016,0,1,151,158,134,,35,25,NA,15,1,NA,vacant,liom,591306.4459,842657.8783,6
31.7,2014,4274,7,31,0,2014,38,48,30,9,0,NA,1,0,2015,0,1,87,60,32,,2,0,NA,0,3,1 liom,vacant,fore,15131.48102,48195.1729,7
31.8,2012,2866,8,31,0,2012,21,8,6,0,0,NA,NA,0,2013,0,1,3,4,2,,0,0,NA,0,0,NA,vacant,vacant,269.39157,7.068583471,8
32.1,2011,1653,1,32,0,2011,32,25,17,0,0,NA,NA,0,2012,0,1,58,43,26,,11,0,NA,NA,5,NA,vacant,liom,3694.512961,18073.18984,1
32.4,2011,1928,4,32,0,2011,37,27,13,0,0,NA,NA,0,2012,0,1,13,15,8,,6,0,NA,NA,0,NA,vacant,vacant,3874.630939,450.0985975,4
32.5,2015,4928,5,32,0,2015,39,29,6,3,0,NA,0,4,2016,0,1,113,71,49,1,2,7,NA,6,7,NA,crem,fore,3126.866438,106499.991,5
32.5,2014,4139,5,32,0,2014,121,67,48,4,0,NA,0,19,2015,0,1,39,29,6,,3,0,NA,0,4,NA,crem,crem,104734.4813,3126.866438,5
32.7,2017,6611,7,32,0,2017,30,50,20,0,0,NA,0,1,2018,0,1,18,20,9,,0,0,NA,0,0,NA,liom,vacant,9621.127502,990.7797831,7
32.8,2012,2867,8,32,0,2012,47,42,33,2,1,NA,NA,0,2013,0,1,54,11,10,,0,0,NA,0,0,NA,vacant,vacant,17303.30329,1558.622655,8
33.3,2012,2486,3,33,0,2012,148,85,64,35,36,NA,NA,0,2013,0,1,140,140,80,1,23,25,NA,2,32,NA,vacant,liom,215051.7037,443488.1629,3
33.3,2015,4654,3,33,0,2015,152,97,73,10,8,NA,4,6,2016,0,1,160,149,81,1,20,27,NA,2,14,NA,liom,liom,287508.0877,553967.5046,3
33.3,2014,3887,3,33,0,2014,135,149,103,18,24,NA,4,19,2015,0,1,152,97,73,1,10,8,NA,4,6,awkward dimensions,liom,liom,561104.1559,287508.0877,3
33.4,2009,787,4,33,0,2009,31,23,11,0,0,NA,NA,0,2010,0,1,6,2,2,,3,0,NA,NA,NA,NA,vacant,vacant,2345.460715,6.283185307,4
33.8,2014,4374,8,33,0,2014,87,63,51,15,0,NA,0,34,2015,0,1,98,101,62,,0,3,NA,11,NA,no data recorded for herbivores,liom,NA,74001.00035,170415.8244,8
34.2,2013,3064,2,34,0,2013,21,30,12,0,0,NA,0,0,2014,0,1,14,14,3,,0,0,NA,0,0,2-NP-ad,vacant,vacant,2424.52413,264.8100808,2
34.8,2013,3443,8,34,0,2013,60,79,61,0,3,NA,0,12,2014,0,1,95,110,74,,32,20,NA,2,72,NA,other,liom,76969.02001,210507.6517,8
35.2,2014,3789,2,35,0,2014,21,4,11,7,0,NA,0,15,2015,0,1,37,33,13,1,0,0,NA,0,0,slant measurement,other,vacant,309.2505268,5124.199417,2
35.5,2016,5708,5,35,0,2016,77,67,52,0,0,NA,0,0,2017,0,1,53,44,23,,4,0,NA,0,4,NA,vacant,liom,71366.31676,15571.63124,5
35.6,2016,5757,6,35,0,2016,129,138,82,56,6,NA,2,11,2017,0,1,175,157,120,,17,20,NA,5,36,NA,liom,liom,408642.6644,878832.7287,6
35.6,2010,1442,6,35,0,2010,162,147,125,29,67,NA,NA,NA,2011,0,1,136,170,132,,1,0,NA,NA,6,NA,liom,liom,784443.1192,811823.1464,6
35.6,2011,2087,6,35,0,2011,136,170,132,1,0,NA,NA,6,2012,0,1,158,108,106,,65,59,NA,NA,9,NA,liom,liom,811823.1464,473579.9082,6
35.7,2017,6614,7,35,0,2017,10,13,5,1,0,NA,0,0,2018,0,1,8,2,1,,0,0,NA,0,0,"mostly dead, still",vacant,vacant,212.0575041,4.71238898,7
36.6,2009,942,6,36,0,2009,33,25,22,0,0,NA,NA,1,2010,0,1,38,12,3,,0,0,NA,NA,NA,NA,liom,vacant,4771.097493,559.5961914,6
37.4,2010,1290,4,37,0,2010,56,40,35,6,0,NA,NA,NA,2011,0,1,38,15,17,,0,0,NA,NA,0,NA,liom,vacant,20616.70179,2546.784445,4
37.8,2011,2226,8,37,0,2011,10,1,1,0,0,NA,NA,0,2012,0,1,15,7,4,,2,0,NA,NA,0,NA,vacant,vacant,2.617993878,118.7914722,8
38.1,2016,5263,1,38,0,2016,112,91,21,20,6,NA,0,0,2017,0,1,118,83,80,,12,1,NA,1,5,NA,vacant,liom,91952.32258,205194.5641,1
38.4,2011,1932,4,38,0,2011,51,39,18,0,0,NA,NA,4,2012,0,1,56,56,49,,16,0,NA,NA,11,NA,liom,liom,10844.97419,40408.73551,4
38.6,2009,943,6,38,0,2009,77,54,49,8,0,NA,NA,36,2010,0,1,99,29,18,,4,0,NA,NA,NA,NA,liom,liom,53465.52182,14313.29248,6
38.8,2012,2872,8,38,0,2012,36,19,9,3,0,NA,NA,5,2013,0,1,16,4,3,,0,0,NA,0,0,NA,liom,vacant,1847.25648,51.31268001,8
39.8,2012,2873,8,39,0,2012,125,60,45,22,0,NA,NA,2,2013,0,1,71,53,32,,0,0,NA,0,2,NA,crem,other,90198.07033,33574.13524,8
40.3,2011,1843,3,40,0,2011,44,20,15,2,0,NA,NA,15,2012,0,1,64,35,31,,27,0,NA,NA,0,NA,liom,vacant,3527.746751,18246.37013,3
40.4,2011,1934,4,40,0,2011,64,39,35,0,0,NA,NA,0,2012,0,1,30,31,24,,5,0,NA,NA,3,NA,vacant,liom,22937.81516,5939.573611,4
41.1,2017,6038,1,41,0,2017,110,104,91,26,15,NA,20,50,2018,0,1,128,130,99,,14,82,NA,3,32,NA,liom,liom,273760.3473,439328.6943,1
41.5,2010,1401,5,41,0,2010,162,102,87,11,9,NA,NA,NA,2011,0,1,160,111,90,,0,0,NA,NA,0,NA,NA,vacant,378745.3052,423078.2827,5
