YEAR,site,t0,t1,repro,survival
8-Jul,7,0.847108948,0.816091993,0.141137383,1
9-Aug,4,0.848580478,NA,0,0
5-Apr,4,0.849788264,1.27614576,0.141583785,1
7-Jun,8,0.850045279,1.025501603,0.141626607,1
5-Apr,1,0.851949551,0.883672366,0.141943879,1
7-Jun,2,0.854879158,0.871505897,0.142431982,1
5-Apr,1,0.857357162,0.80835554,0.142844844,1
5-Apr,2,0.862920183,0.404267727,0.143771703,1
6-May,3,0.864840487,0.439870543,0.144091646,1
9-Aug,3,0.866057174,1.898677982,0.144294359,1
6-May,7,0.86671392,0.896457092,0.14440378,1
6-May,7,0.868714928,1.051442931,0.144737169,1
6-May,2,0.869686525,0.720357166,0.144899048,1
8-Jul,2,0.871505897,0.994249604,0.145202174,1
8-Jul,6,0.872107675,0.971517834,0.145302437,1
7-Jun,8,0.872960722,1.137322865,0.145444564,1
5-Apr,2,0.875887047,0.900863914,0.145932121,1
7-Jun,8,0.876713107,1.118279913,0.146069751,1
6-May,6,0.878463869,1.020636023,0.146361447,1
7-Jun,5,0.878788198,0.985372394,0.146415483,1
6-May,1,0.883672366,0.986995787,0.147229238,1
7-Jun,3,0.8839787,NA,0,0
6-May,5,0.884724933,0.840745997,0.147404607,1
6-May,7,0.886817288,0.975275899,0.147753215,1
7-Jun,1,0.886879102,0.928523745,0.147763514,1
5-Apr,2,0.889773048,0.825342545,0.148245677,1
9-Aug,6,0.889831473,NA,0,0
7-Jun,8,0.889832366,0.989492447,0.14825556,1
8-Jul,6,0.893963839,NA,0,0
7-Jun,7,0.896457092,1.004290287,0.14935931,1
9-Aug,5,0.898598942,1.311609506,0.149716165,1
5-Apr,3,0.89863129,1.215164944,0.149721554,1
6-May,2,0.8993572,0.854879158,0.149842498,1
6-May,2,0.900863914,0.842487309,0.150093533,1
7-Jun,6,0.906801206,1.211697265,0.151082749,1
6-May,8,0.907990811,1.008984239,0.15128095,1
7-Jun,7,0.913544493,0.954086389,0.152206253,1
8-Jul,7,0.917995816,0.682153044,0.152947891,1
7-Jun,6,0.91843245,0.760975256,0.153020638,1
5-Apr,4,0.919177451,1.138255903,0.153144764,1
6-May,1,0.927848301,0.770658568,0.15458942,1
8-Jul,1,0.928523745,0.953136343,0.154701956,1
6-May,3,0.933523011,1.113802779,0.155534887,1
8-Jul,5,0.938141654,0.790874818,0.156304402,1
9-Aug,1,0.938833945,0.866879242,0.156419745,1
6-May,8,0.940120141,0.224404338,0.156634039,1
8-Jul,2,0.941402664,1.091082788,0.156847721,1
6-May,7,0.944732074,1.1960692,0.157402436,1
7-Jun,2,0.944802691,NA,0,0
5-Apr,1,0.951877915,1.140280689,0.15859301,1
9-Aug,1,0.953136343,0.990984634,0.158802677,1
8-Jul,7,0.954086389,0.960399571,0.158960965,1
5-Apr,1,0.957575626,1.198146694,0.159542309,1
7-Jun,4,0.959932395,1.057138164,0.159934972,1
7-Jun,2,0.960149349,0.941402664,0.159971119,1
9-Aug,7,0.960399571,1.020917475,0.160012808,1
5-Apr,3,0.960910631,1.276250523,0.160097956,1
6-May,8,0.965333361,1.049368941,0.16083483,1
8-Jul,2,0.965531978,NA,0,0
5-Apr,1,0.965636029,1.440217142,0.160885258,1
6-May,7,0.966712195,0.989289658,0.161064559,1
9-Aug,5,0.969650626,1.136652368,0.161554133,1
9-Aug,6,0.971517834,1.040254919,0.161865229,1
6-May,2,0.972759845,0.973400329,0.162072162,1
7-Jun,2,0.973400329,1.130884687,0.162178873,1
7-Jun,7,0.975275899,1.172459103,0.162491363,1
7-Jun,7,0.975864749,1.166618701,0.162589472,1
7-Jun,6,0.976783624,1.203864684,0.162742566,1
6-May,2,0.979162715,NA,0,0
6-May,2,0.980762524,1.314630871,0.163405493,1
8-Jul,3,0.981347039,1.107519358,0.16350288,1
7-Jun,6,0.983479369,1.155176704,0.163858149,1
8-Jul,5,0.985372394,0.969650626,0.164173547,1
7-Jun,1,0.986995787,1.074827315,0.164444021,1
7-Jun,7,0.989289658,1.114116925,0.164826205,1
8-Jul,8,0.989492447,1.017280189,0.164859992,1
8-Jul,1,0.993822389,1.05049455,0.165581406,1
9-Aug,2,0.994249604,0.995584715,0.165652585,1
5-Apr,2,0.998599532,0.980762524,0.166377329,1
8-Jul,7,1.004290287,0.774082992,0.16732547,1
5-Apr,2,1.005988851,1.354820251,0.167608468,1
7-Jun,8,1.008984239,0.792960456,0.168107532,1
5-Apr,4,1.009023907,1.560045226,0.168114141,1
9-Aug,8,1.017280189,1.121596829,0.169489726,1
5-Apr,3,1.019434211,1.147890225,0.169848609,1
7-Jun,6,1.020636023,1.073974502,0.170048843,1
5-Apr,2,1.024788016,1.340169907,0.17074061,1
8-Jul,8,1.025501603,1.1752335,0.170859501,1
6-May,2,1.025542148,0.464096005,0.170866256,1
6-May,5,1.027128816,1.169070227,0.171130612,1
5-Apr,4,1.032007249,1.257008427,0.171943411,1
6-May,5,1.035606818,1.065480034,0.172543138,1
6-May,7,1.036000154,1.226103782,0.172608671,1
5-Apr,2,1.036499609,1.254764405,0.172691886,1
6-May,7,1.038583391,NA,0,0
6-May,8,1.038630721,1.09731798,0.173046952,1
7-Jun,6,1.038813444,1.074023916,0.173077396,1
6-May,6,1.040668859,1.402920655,0.173386528,1
7-Jun,2,1.044714108,1.197943741,0.174060509,1
7-Jun,1,1.045377563,NA,0,0
7-Jun,8,1.049368941,1.165595916,0.174836054,1
6-May,7,1.050238929,1.260523304,0.174981003,1
9-Aug,1,1.05049455,1.009219938,0.175023592,1
6-May,7,1.051080527,1.292529877,0.175121222,1
7-Jun,7,1.051442931,1.382352109,0.175181603,1
5-Apr,3,1.052570658,1.127038356,0.175369494,1
8-Jul,4,1.05312458,0.848580478,0.175461783,1
7-Jun,4,1.053483149,0.448072153,0.175521525,1
5-Apr,2,1.05501366,0.972759845,0.175776524,1
6-May,6,1.055022663,1.038813444,0.175778024,1
7-Jun,2,1.055275758,0.965531978,0.175820193,1
8-Jul,4,1.057138164,1.258297527,0.176130489,1
5-Apr,2,1.059784151,1.281216502,0.176571339,1
7-Jun,5,1.065480034,1.174712698,0.177520334,1
7-Jun,1,1.067052431,1.225970863,0.177782312,1
6-May,6,1.06908531,1.135290925,0.178121011,1
6-May,8,1.072401108,0.592996997,0.178673459,1
9-Aug,6,1.072779614,NA,0,0
7-Jun,1,1.073940772,1.156805968,0.178929983,1
8-Jul,6,1.073974502,1.314471073,0.178935603,1
8-Jul,6,1.074023916,NA,0,0
8-Jul,1,1.074827315,1.215532655,0.17907769,1
8-Jul,8,1.075705768,1.098995157,0.17922405,1
9-Aug,6,1.076528474,1.2315515,0.179361122,1
6-May,4,1.079185802,1.053483149,0.179803861,1
6-May,5,1.08124482,1.222247842,0.180146915,1
6-May,2,1.081335857,1.044714108,0.180162083,1
6-May,8,1.088124076,1.410599662,0.181293073,1
5-Apr,4,1.089711106,1.514616746,0.181557489,1
9-Aug,2,1.091082788,1.11130605,0.181786026,1
9-Aug,3,1.09546855,NA,0,0
9-Aug,7,1.09697864,1.099219986,0.182768337,1
7-Jun,8,1.09731798,1.075705768,0.182824875,1
9-Aug,8,1.098995157,1.39901326,0.183104311,1
8-Jul,3,1.104726671,1.124881897,0.184059242,1
9-Aug,3,1.107519358,1.370467757,0.184524533,1
6-May,8,1.110496638,1.446623029,0.18502058,1
6-May,8,1.111253726,1.368318201,0.185146719,1
7-Jun,3,1.113802779,1.160176864,0.185571418,1
8-Jul,7,1.114116925,1.09697864,0.185623758,1
8-Jul,8,1.118279913,1.23608867,0.186317357,1
9-Aug,5,1.120736582,NA,0,0
9-Aug,3,1.124881897,1.102787363,0.187417318,1
6-May,3,1.127038356,1.501692087,0.187776607,1
9-Aug,1,1.127274171,1.565278139,0.187815896,1
9-Aug,4,1.12851941,NA,0,0
7-Jun,7,1.130421062,0.847108948,0.188340201,1
8-Jul,2,1.130884687,1.193436362,0.188417446,1
6-May,6,1.132134925,1.21249901,0.188625749,1
8-Jul,5,1.132948346,1.120736582,0.188761274,1
7-Jun,6,1.135290925,1.308053763,0.189151573,1
8-Jul,8,1.137322865,1.386677301,0.189490115,1
6-May,4,1.138255903,1.16199872,0.18964557,1
6-May,1,1.140280689,1.067052431,0.18998292,1
5-Apr,3,1.145948069,1.203178076,0.190927166,1
8-Jul,2,1.14688048,1.175345961,0.191082516,1
7-Jun,7,1.147782317,1.155545904,0.191232772,1
6-May,3,1.147890225,1.209757308,0.19125075,1
8-Jul,6,1.155176704,1.524535299,0.192464755,1
8-Jul,7,1.155545904,1.165412703,0.192526268,1
6-May,5,1.155800862,1.558073887,0.192568747,1
5-Apr,2,1.156723058,1.025542148,0.192722394,1
8-Jul,1,1.156805968,NA,0,0
6-May,6,1.157249547,1.293597243,0.192810113,1
5-Apr,3,1.15774386,1.372894201,0.192892471,1
6-May,7,1.160066416,1.147782317,0.193279434,1
8-Jul,3,1.160176864,1.248937032,0.193297835,1
5-Apr,2,1.161770358,0.990636241,0.193563328,1
7-Jun,4,1.16199872,1.240531163,0.193601376,1
