szs0,szs1,bulbs0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.684015371,3.628222705,0
4.684015371,3.628222705,0
4.684015371,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.924862868,3.628222705,0
5.924862868,3.628222705,0
5.924862868,3.628222705,0
5.924862868,3.628222705,0
5.924862868,3.628222705,0
6.284266067,3.628222705,0
6.284266067,3.628222705,0
7.256445411,3.628222705,0
7.256445411,3.628222705,0
7.256445411,3.628222705,0
7.256445411,3.628222705,0
11.47344761,3.628222705,0
19.87259419,3.628222705,0
2.094755356,4.189510711,0
2.962431434,4.189510711,0
2.962431434,4.189510711,0
2.962431434,4.189510711,0
2.962431434,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.542201729,4.189510711,0
5.542201729,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
6.284266067,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
7.256445411,4.189510711,0
7.256445411,4.189510711,0
7.256445411,4.189510711,0
7.552747844,4.189510711,0
8.379021423,4.189510711,0
8.379021423,4.189510711,0
10.26216351,4.189510711,0
10.26216351,4.189510711,0
14.81215717,4.189510711,0
16.49412016,4.189510711,0
17.52598071,4.189510711,0
21.464855,4.189510711,0
2.962431434,4.684015371,0
3.628222705,4.684015371,0
3.628222705,4.684015371,0
3.628222705,4.684015371,0
3.628222705,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.684015371,4.684015371,0
4.684015371,4.684015371,0
4.684015371,4.684015371,0
4.684015371,4.684015371,0
4.684015371,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.542201729,4.684015371,0
5.542201729,4.684015371,0
5.542201729,4.684015371,0
5.542201729,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
6.284266067,4.684015371,0
6.624198065,4.684015371,0
6.624198065,4.684015371,0
6.624198065,4.684015371,0
6.624198065,4.684015371,0
6.624198065,4.684015371,0
6.947517542,4.684015371,0
7.256445411,4.684015371,0
7.256445411,4.684015371,0
7.256445411,4.684015371,0
7.256445411,4.684015371,0
7.83785685,4.684015371,0
7.83785685,4.684015371,0
7.83785685,4.684015371,0
8.379021423,4.684015371,0
8.887294301,4.684015371,0
9.368030743,4.684015371,0
12.03345337,4.684015371,0
13.89503508,4.684015371,0
16.22590521,4.684015371,0
2.094755356,5.131081757,0
2.962431434,5.131081757,0
2.962431434,5.131081757,0
2.962431434,5.131081757,0
2.962431434,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
6.284266067,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
