Mortality,Site,Plot,Year,Ncol,Size,Sizenext,Survnext
Divemort,CapdeCreus,CapdeCreus2,2002-2003,349,46,48.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,350,7.5,8.4,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,351,34,36.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,352,20,20.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,353,19,19.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,354,32.7,34,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,355,6,6.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,357,11.5,13,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,358,23,24,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,359,13,14.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,360,2.5,2.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,361,37,,0
Divemort,CapdeCreus,CapdeCreus2,2002-2003,362,16,17.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,363,14,16,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,364,23,25,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,365,16,19,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,366,24,26,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,367,13,12,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,368,46,48,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,369,9.5,11,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,370,33,24,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,371,36,38,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,372,20.5,19,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,373,6,12,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,374,11,11,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,375,23.5,25,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,376,24,24,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,377,29,31,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,378,47,51,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,379,30,32,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,380,27,28,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,381,8,8,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,382,3,4,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,383,42,43,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,384,10,11.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,385,57,60,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,386,5,6.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,387,10,13,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,388,23,26,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,389,21,22.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,390,57,58,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,391,12,13.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,392,23,23,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,393,26,26.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,394,18,18,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,395,36,37.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,396,23,24,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,397,28,28,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,398,20,19,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,399,21,21,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,400,25,25.5,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,401,10,13,1
Divemort,CapdeCreus,CapdeCreus2,2002-2003,402,22,,0
Divemort,CapdeCreus,CapdeCreus2,2002-2003,403,33,34,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,1,20,20,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,1a,5,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,2,16,18,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,3,11,11.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,4,66,63,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,5,56,43,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,6,21,22,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,7,6,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,8,33,35,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,10,53,55,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,12,8,8,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,13,7.5,7.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,14,18,20.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,15,13.5,16,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,17,33.5,35.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,18,3.5,3.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,19,15.5,15.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,20,38,40,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,21,22,22,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,22,20,22,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,23,20,20,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,24,29,32,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,25,44,45,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,26,27.5,31,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,27,17,18,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,28,12,13,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,31,30,31,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,32,20,20,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,33,11,12,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,35,20,20,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,37,3,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,37a,1,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,38,27,28,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,38a,4,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,38b,1,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,39,4,4,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,40,5,5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,41,11,11,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,42,27,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,43,9,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,46a,1,4,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,48,1,1.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,49,26,26,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,50,40,37,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,52,41,39,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,53,44,41,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,54,17,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,56,15,17,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,57,6,8,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,58,24,25,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,59,17,18,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,60,36,38,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,61,25,26,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,62,50,46,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,63,14,11,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,64,35,35,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,66,24,25,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,67,3.5,4,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,67a,0.5,2,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,68,13,13,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,69,21.5,24,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,70,31.5,31,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,71,47.5,48,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,72,32,32,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,73,12,12,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,74,71,71,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,75,32.5,32.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,76,35,35,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,77,24,24,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,78,16,17,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,79,29,31,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,80,23.5,24,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,81,5.5,6,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,82,27,28,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,83,24,23,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,84,2.5,2.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,85,20,20,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,86,30,33,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,87,16,16,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,88,26,27,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,89,23.5,24,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,91,31,31,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,92,4,4,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,92a,1.5,3.2,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,93,23.5,24,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,97,20,20,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,98,34,35,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,100,23,24.5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,101,24,26,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,102,99,99,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,103,4,4,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,104,42,38,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,105,27,22,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,106,22,18,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,107,16,16,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,108,54,45,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,109,3,5,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,110,40,42,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,111,25,26,1
Divemort,CapdeCreus,CapdeCreus1,2003-2004,112,12,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,113,11,,0
Divemort,CapdeCreus,CapdeCreus1,2003-2004,114,34,35,1
