"","area.t0","area.t1","logarea.t0","logarea.t1","year","Group","age","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment"
"1963",43.6235563517813,45.8570048699358,3.77559728775225,3.82552796500335,"1936","P7E1",14,0.0400875900815125,0.871925411247223,0.0173211428970986,0.00265805071371232,0.00186627651206524,0.01556,"Control"
"2103",43.6293063709372,18.0352000120996,3.77572908902467,2.892325404513,"1954","P7E1",32,0.0977260561130877,0.013975,0.00665220905435541,0.204537022732296,0.00326840637399187,0.29568,"Control"
"1038",43.6438756941347,20.2034524347207,3.77606296761115,3.0058535024132,"1946","P1",17,0,0,0.0045182614510044,0.190484822643329,0.128962210535097,1.00003,"Control"
"591",43.6690339517042,42.4456867068895,3.77663924569804,3.74822529880542,"1940","P1",11,0,0,0.0199016255122892,0,0.00045100900737673,0.50645,"Control"
"871",43.6741506335172,36.5806729852253,3.77675640840153,3.5995200404213,"1933","P1",4,0,0,0.133332053862211,0.866918933883514,13.1993100283197,0,"Control"
"695",43.6920077126035,62.1340523586127,3.77716519550338,4.12929418581169,"1951","P1",7,0,0,0.000890333632701965,0.328031725000892,10.0906479477127,0.06918,"Control"
"3678",43.7048082723494,67.2612857583164,3.77745812516433,4.20858482236962,"1950","E1",19,0.449361255227937,0,0.189704543873005,0.0121080143302336,0.0360925928235127,1.04708,"Control"
"733",43.7258244342797,40.0533047645221,3.7779388757133,3.69021118607821,"1955","P1",11,0,0,0.00263900799233228,0.16734535975018,15.275466172878,0.18968,"Control"
"2805",43.794342626107,71.0489479082118,3.77950464525253,4.26336904666728,"1936","P10E1",5,4.95477944109814e-05,2.49263173517304e-05,0.0269707184593092,0.00382044787433718,0.0886279002187734,0.17427,"Control"
"4285",43.8468190570879,64.8392494578645,3.78070217472942,4.17191112150536,"1937","P1E1",15,0,0,0.00424827047913999,0.948097333346126,0.0138448552492989,0.14084,"Control"
"13471",43.8546166938245,49.8033286100195,3.78087999705787,3.90808182135557,"2012","E1",2,0,0,0.102236014824124,0.344817270193546,2.28923021053668,0.00524,"No_shrub"
"2826",43.9256994879206,47.2767016816034,3.78249955854331,3.856017609277,"1938","P10E1",7,0.0275832783462268,0.00300290897198651,0.688279174111784,0.0636769090088382,0.0429930003968076,0.28768,"Control"
"577",43.950431145832,37.1285957669721,3.78306243399961,3.61438744810867,"1939","P1",10,0,0,0.0773133310598477,0.279874592667274,0.507928499182105,0.30837,"Control"
"3592",44.0268362359114,33.8204127699264,3.78479936244857,3.52106454830212,"1939","E1",8,0.001475,0,0.000134066605314962,0.0470331692555851,0.0779449117973682,0.18817,"Control"
"516",44.1054412007016,25.7942211455273,3.78658315807758,3.25015048023136,"1935","P1",6,0.499795708609605,0,0.497559744290234,0.351125113581555,1.66084647710181,0.04466,"Control"
"4123",44.1112557732827,21.6352818713633,3.78671498284067,3.07432540208115,"1940","E1",9,0.023129589153334,0,0.0727648130520315,0.00185999999272623,0,0.39159,"Control"
